;ordered;reodered;random;saw;sinusoidal;step;quasi ordered;;ordered;reodered;random;saw;sinusoidal;step;quasi ordered
;119;881;21;180;964,8882429;101;105;;11,90119012;988,0988099;863,6662329;180,10001;964,8882429;104,5971705;155,1755766
;120;880;169;190;975,5282581;105;94;;12,00120012;987,9987999;83,97728788;190,10001;975,5282581;96,70762192;163,3419784
;121;879;883;200;984,2915806;102;117;;12,10121012;987,8987899;655,0892751;200,10001;984,2915806;105,5660404;147,061506
;122;878;272;210;991,1436254;102;99;;12,20122012;987,7987799;21,15153421;210,10001;991,1436254;94,87687317;127,8179563
;123;877;331;220;996,0573507;105;81;;12,30123012;987,6987699;439,4197665;220,10001;996,0573507;108,4471622;105,7077389
;124;876;579;230;999,0133642;99;103;;12,40124012;987,5987599;290,535783;230,10001;999,0133642;94,72211895;103,1406298
;125;875;129;240;1000;99;77;;12,50125013;987,4987499;640,3102709;240,10001;1000;92,96082315;93,82855448
;126;874;69;250;999,0133642;94;116;;12,60126013;987,3987399;233,219693;250,10001;999,0133642;106,8459092;162,2176615
;127;873;743;260;996,0573507;110;131;;12,70127013;987,2987299;769,5122042;260,10001;996,0573507;90,41911132;153,6927791
;128;872;610;270;991,1436254;107;178;;12,80128013;987,1987199;736,2220526;270,10001;991,1436254;93,38919163;156,2879811
;129;871;38;280;984,2915806;99;108;;12,90129013;987,0987099;223,6978179;280,10001;984,2915806;97,95588292;79,11832344
;130;870;31;290;975,5282581;99;130;;13,00130013;986,9986999;509,1172007;290,10001;975,5282581;96,15576389;174,8963046
;131;869;233;300;964,8882429;104;102;;13,10131013;986,8986899;810,6135989;300,10001;964,8882429;106,235972;149,9165699
;132;868;565;310;952,4135262;94;104;;13,20132013;986,7986799;626,5865084;310,10001;952,4135262;96,67004862;84,92605089
;133;867;323;320;938,15334;109;124;;13,30133013;986,6986699;137,4071534;320,10001;938,15334;106,9699072;155,3916911
;134;866;117;330;922,1639628;110;137;;13,40134013;986,5986599;879,0109124;330,10001;922,1639628;109,4492788;98,91497589
;135;865;436;340;904,5084972;102;171;;13,50135014;986,4986499;495,1495596;340,10001;904,5084972;96,69290538;138,4722393
;136;864;565;350;885,2566214;95;92;;13,60136014;986,3986399;315,2664648;350,10001;885,2566214;97,86489283;127,3851108
;137;863;174;360;864,4843137;109;91;;13,70137014;986,2986299;844,2332957;360,10001;864,4843137;93,5595529;163,7028952
;138;862;263;370;842,273553;101;188;;13,80138014;986,1986199;876,6805384;370,10001;842,273553;107,0336092;136,1852867
;139;861;829;380;818,7119949;94;165;;13,90139014;986,0986099;384,7987668;380,10001;818,7119949;104,954641;108,6077404
;140;860;716;390;793,8926261;105;188;;14,00140014;985,9985999;77,15894878;390,10001;793,8926261;109,3632116;157,5376242
;141;859;412;400;767,9133975;98;93;;14,10141014;985,8985899;202,773344;400,10001;767,9133975;106,2489323;159,3514772
;142;858;299;410;740,8768371;105;130;;14,20142014;985,7985799;32,88417366;410,10001;740,8768371;101,9625304;155,2004816
;143;857;274;420;712,8896458;108;142;;14,30143014;985,6985699;0,93424513;420,10001;712,8896458;109,3060449;174,8433558
;144;856;951;430;684,0622763;106;141;;14,40144014;985,5985599;609,2323928;430,10001;684,0622763;103,0653369;103,1815129
;145;855;134;440;654,5084972;93;103;;14,50145015;985,4985499;963,2003213;440,10001;654,5084972;95,35172474;124,2934074
;146;854;451;450;624,3449436;97;179;;14,60146015;985,3985399;603,6930938;450,10001;624,3449436;108,8111383;117,1017218
;147;853;444;460;593,6906573;98;125;;14,70147015;985,2985299;190,9353794;460,10001;593,6906573;102,3152936;152,1742859
;148;852;671;470;562,6666168;106;177;;14,80148015;985,1985199;47,58676249;470,10001;562,6666168;100,2071286;122,1834768
;149;851;694;480;531,3952598;90;110;;14,90149015;985,0985099;273,4907122;480,10001;531,3952598;108,4488527;178,1689592
;150;850;172;490;500;102;179;;15,00150015;984,9984998;283,0462601;490,10001;500;102,2472488;111,1185676
;151;849;339;500;468,6047402;100;148;;15,10151015;984,8984898;51,34149565;500,10001;468,6047402;90,43703114;136,1980975
;152;848;205;510;437,3333832;108;152;;15,20152015;984,7984798;951,2942743;510,10001;437,3333832;106,3893173;141,5127643
;153;847;862;520;406,3093427;103;136;;15,30153015;984,6984698;477,3553824;520,10001;406,3093427;109,6682894;164,1107632
;154;846;73;530;375,6550564;109;203;;15,40154015;984,5984598;570,2025133;530,10001;375,6550564;94,93683875;120,0905808
;155;845;334;540;345,4915028;96;165;;15,50155016;984,4984498;251,0646597;540,10001;345,4915028;101,4058936;106,748417
;156;844;220;550;315,9377237;109;117;;15,60156016;984,3984398;987,6852911;550,10001;315,9377237;108,0383259;163,1686779
;157;843;953;560;287,1103542;98;124;;15,70157016;984,2984298;538,4983591;560,10001;287,1103542;92,87278612;135,5187987
;158;842;298;570;259,1231629;105;197;;15,80158016;984,1984198;686,4772978;570,10001;259,1231629;102,0233136;167,0150485
;159;841;103;580;232,0866025;109;186;;15,90159016;984,0984098;589,5259326;580,10001;232,0866025;102,1234753;208,8098719
;160;840;329;590;206,1073739;107;135;;16,00160016;983,9983998;283,2705452;590,10001;206,1073739;99,33010444;193,8011245
;161;839;11;600;181,2880051;103;182;;16,10161016;983,8983898;209,6673219;600,10001;181,2880051;106,4701609;199,022582
;162;838;40;610;157,726447;92;139;;16,20162016;983,7983798;905,3126043;610,10001;157,726447;107,6787959;161,3650287
;163;837;774;620;135,5156863;105;146;;16,30163016;983,6983698;457,4416448;620,10001;135,5156863;94,11598046;150,5828166
;164;836;152;630;114,7433786;102;141;;16,40164016;983,5983598;401,3578356;630,10001;114,7433786;103,4337493;128,2815738
;165;835;270;640;95,49150281;94;176;;16,50165017;983,4983498;592,4370087;640,10001;95,49150281;93,87679349;164,6915118
;166;834;680;650;77,83603725;107;137;;16,60166017;983,3983398;947,3957404;650,10001;77,83603725;103,931824;184,2017726
;167;833;661;660;61,84665998;107;190;;16,70167017;983,2983298;987,1727533;660,10001;61,84665998;104,0360307;183,2045957
;168;832;565;670;47,58647377;100;144;;16,80168017;983,1983198;429,8789811;670,10001;47,58647377;96,31212718;120,885807
;169;831;14;680;35,11175706;103;178;;16,90169017;983,0983098;44,14639434;680,10001;35,11175706;99,0569374;188,96194
;170;830;264;690;24,47174185;96;160;;17,00170017;982,9982998;861,2524056;690,10001;24,47174185;93,54715054;168,0180809
;171;829;782;700;15,70841944;94;143;;17,10171017;982,8982898;431,2593564;700,10001;15,70841944;106,7992441;134,6656992
;172;828;475;710;8,856374636;110;217;;17,20172017;982,7982798;283,2451991;710,10001;8,856374636;98,43733885;134,5204064
;173;827;838;720;3,942649343;98;216;;17,30173017;982,6982698;307,0517905;720,10001;3,942649343;101,7448293;180,4559628
;174;826;492;730;0,986635786;110;128;;17,40174017;982,5982598;427,3412144;730,10001;0,986635786;90,81892747;222,2695945
;175;825;403;740;0;110;138;;17,50175018;982,4982498;263,6617139;740,10001;0;104,422263;180,6958613
;176;824;946;750;0,986635786;109;213;;17,60176018;982,3982398;282,1181014;750,10001;0,986635786;105,7512508;199,0157392
;177;823;706;760;3,942649343;91;155;;17,70177018;982,2982298;341,7703934;760,10001;3,942649343;101,9901636;132,3740096
;178;822;990;770;8,856374636;99;179;;17,80178018;982,1982198;221,95918;770,10001;8,856374636;100,8163019;176,333596
;179;821;639;780;15,70841944;109;194;;17,90179018;982,0982098;638,4382741;780,10001;15,70841944;94,56793472;195,3047368
;180;820;875;790;24,47174185;92;215;;18,00180018;981,9981998;676,4698568;790,10001;24,47174185;97,34459411;154,5297228
;181;819;49;800;35,11175706;95;226;;18,10181018;981,8981898;587,8700769;800,10001;35,11175706;93,61082042;211,4540078
;182;818;144;810;47,58647377;98;182;;18,20182018;981,7981798;459,8999338;810,10001;47,58647377;96,08347999;192,9778435
;183;817;81;820;61,84665998;110;210;;18,30183018;981,6981698;254,1769004;820,10001;61,84665998;102,8294476;189,8299695
;184;816;704;830;77,83603725;91;155;;18,40184018;981,5981598;71,94723125;830,10001;77,83603725;97,46607248;208,7709017
;185;815;831;840;95,49150281;104;219;;18,50185019;981,4981498;176,9138156;840,10001;95,49150281;93,49124872;145,1386352
;186;814;401;850;114,7433786;98;203;;18,60186019;981,3981398;177,9736134;850,10001;114,7433786;92,12395446;178,4551076
;187;813;637;860;135,5156863;105;151;;18,70187019;981,2981298;330,5240868;860,10001;135,5156863;101,32329;196,8870186
;188;812;804;870;157,726447;101;234;;18,80188019;981,1981198;702,882848;870,10001;157,726447;99,97527665;201,8444169
;189;811;501;880;181,2880051;109;207;;18,90189019;981,0981098;148,4430368;880,10001;181,2880051;94,38898064;173,7145684
;190;810;74;890;206,1073739;92;167;;19,00190019;980,9980998;428,5908963;890,10001;206,1073739;95,18161255;184,5913337
;191;809;771;900;232,0866025;98;227;;19,10191019;980,8980898;478,0575558;900,10001;232,0866025;101,9636954;203,2840841
;192;808;295;910;259,1231629;94;239;;19,20192019;980,7980798;890,986745;910,10001;259,1231629;102,912425;192,125672
;193;807;746;920;287,1103542;92;235;;19,30193019;980,6980698;960,1663268;920,10001;287,1103542;91,32950695;194,6437649
;194;806;755;930;315,9377237;96;151;;19,40194019;980,5980598;149,7290351;930,10001;315,9377237;90,44286082;217,6383073
;195;805;289;940;345,4915028;109;231;;19,5019502;980,4980498;659,2697653;940,10001;345,4915028;99,94180199;244,5331456
;196;804;5;950;375,6550564;92;151;;19,6019602;980,3980398;254,0687614;950,10001;375,6550564;92,72873426;189,0691007
;197;803;895;960;406,3093427;99;201;;19,7019702;980,2980298;704,4191353;960,10001;406,3093427;105,3296131;176,6838692
;198;802;338;970;437,3333832;98;224;;19,8019802;980,1980198;334,5532589;970,10001;437,3333832;109,1577371;237,4775778
;199;801;685;980;468,6047402;105;181;;19,9019902;980,0980098;604,6813478;980,10001;468,6047402;95,40434369;192,400364
;200;800;325;990;500;99;206;;20,0020002;979,9979998;712,8019444;990,10001;500;92,58210994;156,6243295
;201;799;285;1000;531,3952598;105;233;;20,1020102;979,8979898;580,7245641;1000,10001;531,3952598;95,74306979;223,4703266
;202;798;853;0;562,6666168;193;164;;20,2020202;979,7979798;384,7439117;0,100010001;562,6666168;194,7166291;225,7630018
;203;797;609;10;593,6906573;199;158;;20,3020302;979,6979698;835,7823912;10,10001;593,6906573;193,0042739;189,6980451
;204;796;41;20;624,3449436;202;177;;20,4020402;979,5979598;512,242147;20,10001;624,3449436;196,8647929;248,7303444
;205;795;147;30;654,5084972;194;234;;20,50205021;979,4979498;44,66019518;30,10001;654,5084972;191,2305201;242,6594606
;206;794;588;40;684,0622763;193;226;;20,60206021;979,3979398;124,2242083;40,10001;684,0622763;190,0573864;229,8268545
;207;793;41;50;712,8896458;209;185;;20,70207021;979,2979298;534,64451;50,10001;712,8896458;190,9271091;223,8253608
;208;792;957;60;740,8768371;207;236;;20,80208021;979,1979198;847,5762407;60,10001;740,8768371;190,660356;220,891568
;209;791;695;70;767,9133975;206;217;;20,90209021;979,0979098;168,8332781;70,10001;767,9133975;205,1035068;242,1278529
;210;790;308;80;793,8926261;203;206;;21,00210021;978,9978998;49,28936285;80,10001;793,8926261;192,2954956;199,3386345
;211;789;391;90;818,7119949;203;229;;21,10211021;978,8978898;521,666353;90,10001;818,7119949;196,1139925;213,6583718
;212;788;940;100;842,273553;194;254;;21,20212021;978,7978798;149,6971111;100,10001;842,273553;206,3571696;178,4735508
;213;787;702;110;864,4843137;195;193;;21,30213021;978,6978698;266,9023336;110,10001;864,4843137;194,2481614;193,5662663
;214;786;377;120;885,2566214;205;254;;21,40214021;978,5978598;493,5866895;120,10001;885,2566214;198,1148189;240,4423199
;215;785;677;130;904,5084972;206;220;;21,50215022;978,4978498;701,0639918;130,10001;904,5084972;200,1379178;234,4986421
;216;784;980;140;922,1639628;194;249;;21,60216022;978,3978398;313,1908289;140,10001;922,1639628;208,4889447;232,4194976
;217;783;670;150;938,15334;207;194;;21,70217022;978,2978298;464,7391615;150,10001;938,15334;195,4183493;187,2613875
;218;782;278;160;952,4135262;209;191;;21,80218022;978,1978198;155,3384245;160,10001;952,4135262;195,3372085;215,6060679
;219;781;893;170;964,8882429;196;256;;21,90219022;978,0978098;43,25334681;170,10001;964,8882429;200,9589907;176,5821473
;220;780;765;180;975,5282581;193;245;;22,00220022;977,9977998;228,5266014;180,10001;975,5282581;197,9038822;244,1288017
;221;779;523;190;984,2915806;202;271;;22,10221022;977,8977898;803,310398;190,10001;984,2915806;194,2107082;188,9479912
;222;778;817;200;991,1436254;200;232;;22,20222022;977,7977798;594,4459897;200,10001;991,1436254;193,976726;192,901207
;223;777;339;210;996,0573507;201;214;;22,30223022;977,6977698;291,3054968;210,10001;996,0573507;200,6342065;216,9404952
;224;776;72;220;999,0133642;206;271;;22,40224022;977,5977598;417,8943423;220,10001;999,0133642;198,4602911;179,8784522
;225;775;878;230;1000;198;268;;22,50225023;977,4977498;115,1487346;230,10001;1000;194,5049908;247,5900636
;226;774;87;240;999,0133642;204;216;;22,60226023;977,3977398;743,0280513;240,10001;999,0133642;208,3372175;223,5258055
;227;773;449;250;996,0573507;192;264;;22,70227023;977,2977298;976,0464566;250,10001;996,0573507;206,8671504;193,3398347
